numofitems,countnumitems
1,3723
2,834
3,691
4,663
5,688
6,617
7,607
8,604
9,605
10,547
11,555
12,492
13,507
14,524
15,549
16,553
17,467
18,439
19,483
20,439
21,402
22,348
23,345
24,311
25,247
26,259
27,244
28,242
29,271
30,224
31,196
32,189
33,162
34,178
35,134
36,134
37,133
38,120
39,135
40,125
41,126
42,101
43,97
44,105
45,99
46,91
47,81
48,93
49,93
50,85
51,57
52,66
53,77
54,72
55,72
56,49
57,62
58,54
59,36
60,59
61,43
62,29
63,42
64,37
65,40
66,44
67,34
68,40
69,28
70,34
71,38
72,22
73,27
74,33
75,27
76,21
77,17
78,28
79,15
80,13
81,19
82,23
83,15
84,21
85,18
86,15
87,11
88,17
89,12
90,10
91,10
92,15
93,16
94,7
95,6
96,9
97,10
98,13
99,4
100,9
101,13
102,3
103,6
104,9
105,2
106,4
107,6
108,4
109,4
110,4
111,8
112,3
113,5
114,5
115,5
116,10
117,6
118,4
119,7
120,6
121,6
122,11
123,4
124,5
125,3
126,4
127,7
128,2
129,2
130,4
131,2
132,4
133,2
134,3
135,6
136,2
137,5
138,7
139,2
140,4
141,7
142,2
143,2
144,4
145,5
146,3
147,1
148,6
149,5
150,2
151,6
152,3
153,5
154,2
155,3
156,2
157,3
158,5
159,1
160,1
161,4
162,3
163,3
164,2
165,5
166,4
168,5
169,4
170,1
171,3
172,3
173,4
174,4
175,2
176,4
177,6
178,3
179,3
180,3
181,3
182,6
183,4
184,3
185,2
186,2
187,4
188,2
189,5
190,4
191,2
192,3
193,2
194,3
195,3
196,4
197,2
198,2
199,3
202,2
203,5
204,5
205,1
206,2
207,1
208,4
210,1
211,4
212,1
214,1
215,2
216,3
217,4
218,1
219,3
220,2
223,2
224,3
225,3
226,1
228,1
229,2
230,2
232,1
233,1
235,1
236,1
237,3
238,3
239,1
241,2
242,1
243,2
244,2
247,2
249,3
250,2
253,1
254,2
255,2
257,2
259,1
261,2
262,2
263,1
264,2
266,1
267,1
271,2
275,1
279,1
280,2
282,2
283,2
285,1
287,2
288,1
289,1
290,1
292,1
293,1
295,1
297,1
298,2
300,1
301,1
309,1
310,1
315,1
319,1
320,1
331,1
332,2
333,1
334,2
335,1
340,1
341,1
344,1
346,1
347,2
350,1
352,2
353,1
355,1
358,1
360,1
363,1
371,1
375,1
378,1
379,1
384,1
386,1
388,1
402,2
404,1
406,1
410,1
411,1
415,1
416,2
418,1
419,1
420,1
429,1
434,3
438,1
439,2
443,1
449,1
455,2
460,2
463,1
471,1
482,1
486,1
487,1
488,1
494,1
502,1
503,2
509,1
515,1
516,1
517,1
518,1
520,1
523,1
525,2
526,1
527,1
529,1
531,1
536,1
539,1
541,1
543,1
552,1
561,1
568,1
572,1
578,1
585,1
586,1
589,1
590,1
593,1
595,1
599,1
601,1
607,1
622,1
629,1
635,1
645,1
648,1
650,1
661,1
674,1
676,1
687,1
704,1
721,1
731,1
749,1
1110,1
1948,1
